"G01Q18[1]","G01Q18[2]","G01Q18[3]","G01Q18[5]","G01Q18[12]","G01Q18[6]","G01Q18[10]","G01Q18[7]","G01Q18[8]","G01Q18[9]","G01Q18[11]","G01Q21[1]","G01Q21[2]","G01Q21[3]","G01Q21[5]","G01Q21[12]","G01Q21[6]","G01Q21[10]","G01Q21[7]","G01Q21[8]","G01Q21[9]","G01Q21[11]"
"0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"

