1,a,yes
2,a,no
3,a,yes
4,a,no
5,a,no
6,a,no
7,a,no
8,a,no
9,a,no
10,a,no
11,a,no
1,b,no
2,b,no
3,b,yes
4,b,no
5,b,no
6,b,no
7,b,no
8,b,no
9,b,no
10,b,no
11,b,no
