id,G00Q136[1],G00Q136[2],G00Q136[3],G00Q137[1],G00Q137[2],G00Q137[3],G00Q138[1],G00Q138[2],G00Q138[3],G00Q139[1],G00Q139[2],G00Q139[3],G00Q140[1],G00Q140[2],G00Q140[3],G00Q141[1],G00Q141[2],G00Q141[3],G00Q142[1],G00Q142[2],G00Q142[3],G00Q143[1],G00Q143[2],G00Q143[3],G00Q144[1],G00Q144[2],G00Q144[3],G00Q145[1],G00Q145[2],G00Q145[3],G00Q146[1],G00Q146[2],G00Q146[3],G00Q147[1],G00Q147[2],G00Q147[3],G00Q148[1],G00Q148[2],G00Q148[3],G00Q149[1],G00Q149[2],G00Q149[3],G00Q150[1],G00Q150[2],G00Q150[3],G00Q151[1],G00Q151[2],G00Q151[3],G00Q152[1],G00Q152[2],G00Q152[3],G00Q153[1],G00Q153[2],G00Q153[3],G00Q154[1],G00Q154[2],G00Q154[3],G00Q155[1],G00Q155[2],G00Q155[3],G00Q156[1],G00Q156[2],G00Q156[3],G00Q157[1],G00Q157[2],G00Q157[3],G00Q158[1],G00Q158[2],G00Q158[3],G00Q159[1],G00Q159[2],G00Q159[3],G00Q160[1],G00Q160[2],G00Q160[3],G00Q161[1],G00Q161[2],G00Q161[3],G00Q162[1],G00Q162[2],G00Q162[3],G00Q163[1],G00Q163[2],G00Q163[3],G00Q164[1],G00Q164[2],G00Q164[3],G00Q165[1],G00Q165[2],G00Q165[3],G00Q166[1],G00Q166[2],G00Q166[3],G00Q167[1],G00Q167[2],G00Q167[3],G00Q168[1],G00Q168[2],G00Q168[3],G00Q169[1],G00Q169[2],G00Q169[3],G00Q170[1],G00Q170[2],G00Q170[3],G00Q171[1],G00Q171[2],G00Q171[3],G00Q172[1],G00Q172[2],G00Q172[3],G00Q173[1],G00Q173[2],G00Q173[3],G00Q174[1],G00Q174[2],G00Q174[3],G00Q175[1],G00Q175[2],G00Q175[3],G00Q176[1],G00Q176[2],G00Q176[3],G00Q200[1],G00Q200[2],G00Q200[3],G00Q177[1],G00Q177[2],G00Q177[3],G00Q179[1],G00Q179[2],G00Q179[3],G00Q180[1],G00Q180[2],G00Q180[3],G00Q181[1],G00Q181[2],G00Q181[3],G00Q201[1],G00Q201[2],G00Q201[3],G00Q183[1],G00Q183[2],G00Q183[3],G00Q184[1],G00Q184[2],G00Q184[3],G00Q185[1],G00Q185[2],G00Q185[3],G00Q202[1],G00Q202[2],G00Q202[3],G00Q203[1],G00Q203[2],G00Q203[3],G00Q204[1],G00Q204[2],G00Q204[3],G00Q182[1],G00Q182[2],G00Q182[3],G00Q205[1],G00Q205[2],G00Q205[3],G00Q187[1],G00Q187[2],G00Q187[3],G00Q206[1],G00Q206[2],G00Q206[3],G00Q186[1],G00Q186[2],G00Q186[3],G00Q188[1],G00Q188[2],G00Q188[3],G00Q207[1],G00Q207[2],G00Q207[3],G00Q189[1],G00Q189[2],G00Q189[3],G00Q208[1],G00Q208[2],G00Q208[3],G00Q209[1],G00Q209[2],G00Q209[3],G00Q210[1],G00Q210[2],G00Q210[3],G00Q211[1],G00Q211[2],G00Q211[3],G00Q212[1],G00Q212[2],G00Q212[3],G00Q213[1],G00Q213[2],G00Q213[3],G00Q190[1],G00Q190[2],G00Q190[3],G00Q214[1],G00Q214[2],G00Q214[3],G00Q191[1],G00Q191[2],G00Q191[3],G00Q215[1],G00Q215[2],G00Q215[3],G00Q192[1],G00Q192[2],G00Q192[3],G00Q216[1],G00Q216[2],G00Q216[3],G00Q193[1],G00Q193[2],G00Q193[3],G00Q217[1],G00Q217[2],G00Q217[3],G00Q194[1],G00Q194[2],G00Q194[3],G00Q195[1],G00Q195[2],G00Q195[3],G00Q196[1],G00Q196[2],G00Q196[3],G00Q197[1],G00Q197[2],G00Q197[3],G00Q198[1],G00Q198[2],G00Q198[3],G00Q218[1],G00Q218[2],G00Q218[3],G00Q199[1],G00Q199[2],G00Q199[3],G00Q219[1],G00Q219[2],G00Q219[3],G00Q220[1],G00Q220[2],G00Q220[3],G00Q221[1],G00Q221[2],G00Q221[3],G00Q222[1],G00Q222[2],G00Q222[3],G00Q223[1],G00Q223[2],G00Q223[3],G00Q224[1],G00Q224[2],G00Q224[3],G00Q225[1],G00Q225[2],G00Q225[3],G00Q226[1],G00Q226[2],G00Q226[3],G00Q227[1],G00Q227[2],G00Q227[3],G00Q228[1],G00Q228[2],G00Q228[3],G00Q229[1],G00Q229[2],G00Q229[3],G00Q230[1],G00Q230[2],G00Q230[3],G00Q231[1],G00Q231[2],G00Q231[3],G00Q232[1],G00Q232[2],G00Q232[3],G00Q233[1],G00Q233[2],G00Q233[3],G00Q234[1],G00Q234[2],G00Q234[3],G00Q235[1],G00Q235[2],G00Q235[3],G00Q236[1],G00Q236[2],G00Q236[3],G00Q237[1],G00Q237[2],G00Q237[3],G00Q238[1],G00Q238[2],G00Q238[3],G00Q239[1],G00Q239[2],G00Q239[3],G00Q240[1],G00Q240[2],G00Q240[3],G00Q241[1],G00Q241[2],G00Q241[3],G00Q242[1],G00Q242[2],G00Q242[3],G00Q243[1],G00Q243[2],G00Q243[3],G00Q244[1],G00Q244[2],G00Q244[3],G00Q245[1],G00Q245[2],G00Q245[3],G00Q246[1],G00Q246[2],G00Q246[3],G00Q247[1],G00Q247[2],G00Q247[3],G00Q248[1],G00Q248[2],G00Q248[3],G00Q249[1],G00Q249[2],G00Q249[3],G00Q250[1],G00Q250[2],G00Q250[3],G00Q25[1],G00Q25[2],G00Q25[3],G00Q251[1],G00Q251[2],G00Q251[3],G00Q253[1],G00Q253[2],G00Q253[3],G00Q252[1],G00Q252[2],G00Q252[3],G00Q254[1],G00Q254[2],G00Q254[3],G00Q255[1],G00Q255[2],G00Q255[3],G00Q256[1],G00Q256[2],G00Q256[3],G00Q257[1],G00Q257[2],G00Q257[3],G00Q258[1],G00Q258[2],G00Q258[3],G00Q259[1],G00Q259[2],G00Q259[3],G00Q260[1],G00Q260[2],G00Q260[3],G00Q261[1],G00Q261[2],G00Q261[3],G00Q262[1],G00Q262[2],G00Q262[3],G00Q263[1],G00Q263[2],G00Q263[3],G00Q264[1],G00Q264[2],G00Q264[3],G00Q265[1],G00Q265[2],G00Q265[3],G00Q266[1],G00Q266[2],G00Q266[3],G00Q267[1],G00Q267[2],G00Q267[3],G00Q268[1],G00Q268[2],G00Q268[3],G00Q269[1],G00Q269[2],G00Q269[3],G00Q270[1],G00Q270[2],G00Q270[3]
1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
2,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
4,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
