"id","G01Q01[1]","G01Q01[2]","G01Q01[3]","G01Q02[1]","G01Q02[2]","G01Q02[3]","G01Q03[1]","G01Q03[2]","G01Q03[3]","G01Q04[1]","G01Q04[2]","G01Q04[3]","G01Q05[1]","G01Q05[2]","G01Q05[3]","G01Q06[1]","G01Q06[2]","G01Q06[3]","G01Q50[1]","G01Q50[2]","G01Q50[3]","G01Q51[1]","G01Q51[2]","G01Q51[3]","G01Q07[1]","G01Q07[2]","G01Q07[3]","G01Q8[1]","G01Q8[2]","G01Q8[3]","G01Q52[1]","G01Q52[2]","G01Q52[3]","G01Q53[1]","G01Q53[2]","G01Q53[3]","G01Q9[1]","G01Q9[2]","G01Q9[3]","G01Q54[1]","G01Q54[2]","G01Q54[3]","G01Q10[1]","G01Q10[2]","G01Q10[3]","G01Q55[1]","G01Q55[2]","G01Q55[3]","G01Q11[1]","G01Q11[2]","G01Q11[3]","G01Q12[1]","G01Q12[2]","G01Q12[3]","G01Q13[1]","G01Q13[2]","G01Q13[3]","G01Q14[1]","G01Q14[2]","G01Q14[3]","G01Q56[1]","G01Q56[2]","G01Q56[3]","G01Q57[1]","G01Q57[2]","G01Q57[3]","G01Q15[1]","G01Q15[2]","G01Q15[3]","G01Q16[1]","G01Q16[2]","G01Q16[3]","G01Q58[1]","G01Q58[2]","G01Q58[3]","G01Q59[1]","G01Q59[2]","G01Q59[3]","G01Q60[1]","G01Q60[2]","G01Q60[3]","G01Q17[1]","G01Q17[2]","G01Q17[3]","G01Q61[1]","G01Q61[2]","G01Q61[3]","G01Q62[1]","G01Q62[2]","G01Q62[3]","G01Q18[1]","G01Q18[2]","G01Q18[3]","G01Q63[1]","G01Q63[2]","G01Q63[3]","G01Q64[1]","G01Q64[2]","G01Q64[3]","G01Q65[1]","G01Q65[2]","G01Q65[3]","G01Q19[1]","G01Q19[2]","G01Q19[3]","G01Q20[1]","G01Q20[2]","G01Q20[3]","G01Q66[1]","G01Q66[2]","G01Q66[3]","G01Q21[1]","G01Q21[2]","G01Q21[3]","G01Q67[1]","G01Q67[2]","G01Q67[3]","G01Q68[1]","G01Q68[2]","G01Q68[3]","G01Q69[1]","G01Q69[2]","G01Q69[3]","G01Q70[1]","G01Q70[2]","G01Q70[3]","G01Q71[1]","G01Q71[2]","G01Q71[3]","G01Q22[1]","G01Q22[2]","G01Q22[3]","G01Q23[1]","G01Q23[2]","G01Q23[3]","G01Q24[1]","G01Q24[2]","G01Q24[3]","G01Q25[1]","G01Q25[2]","G01Q25[3]","G01Q26[1]","G01Q26[2]","G01Q26[3]","G01Q27[1]","G01Q27[2]","G01Q27[3]","G01Q28[1]","G01Q28[2]","G01Q28[3]"
"4","0","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0"
"6","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","1"

